"AccountEnabled","AgeGroup","ApproximateLastSignInDateTime","BusinessPhone","City","CompanyName","ComplianceExpirationDateTime","ConsentProvidedForMinor","Country","CreatedDateTime","CreationType","DeletedDateTime","Department","DeviceVersion","DisplayName","EmployeeHireDate","EmployeeId","EmployeeOrgData","EmployeeType","ExternalUserState","ExternalUserStateChangeDateTime","FaxNumber","GivenName","Id","Identity","ImAddress","IsResourceAccount","JobTitle","LastPasswordChangeDateTime","LegalAgeGroupClassification","Mail","MailNickname","Manager","MobilePhone","OdataId","OdataType","OfficeLocation","OnPremisesImmutableId","OnPremisesLastSyncDateTime","OnPremisesSyncEnabled","OperatingSystem","OperatingSystemVersion","OtherMail","PasswordPolicy","PasswordProfile","PhysicalId","PostalCode","PreferredLanguage","ProxyAddress","ResourceGroupName","ShowInAddressList","SignInSessionsValidFromDateTime","State","StreetAddress","Surname","TrustType","UsageLocation","UserPrincipalName","UserType","AdditionalProperties"
,,,"System.String[]",,,,,,,,,,,"Htet Jedynak",,,"{
}",,,,,"Htet","2a608ae4-a6ee-441e-be1a-2dbcd3fe3fbd",,,,"Finance assistant",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Jedynak",,,"Htet@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Isabel Konigs",,,"{
}",,,,,"Isabel","1819d4b4-8b41-48a1-bdc1-15375208d789",,,,"HR Specialist",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Konigs",,,"Isabel@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Ismat Henriques",,,"{
}",,,,,"Ismat","831f087e-0db9-4b39-9153-8bd6640033b1",,,,"SOC Analyst",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Henriques",,,"Ismat@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Jacobo Miguel",,,"{
}",,,,,"Jacobo","b554542b-60cc-4187-9ff9-3594022b4528",,,,"System Administrator",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Miguel",,,"Jacobo@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Jamal Nwesigwo",,,"{
}",,,,,"Jamal","05652239-4d49-42fb-888f-9881db9d0893",,,,"Communication Specialist",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Nwesigwo",,,"Jamal@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Jordan Aron",,,"{
}",,,,,"Jordan","45bfd54d-4c6b-4add-a18d-bccb66ed33f8",,,,"Marketing Specialist",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Aron",,,"Jordan@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Kendall Kellogg",,,"{
}",,,,,"Kendall","15dc8cb4-55c8-4e38-a0e3-baa0f7d365ed",,,,"Internal Auditor",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Kellogg",,,"Kendall@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Lei Pokorni",,,"{
}",,,,,"Lei","6afb58fa-d6a6-4f89-a83b-cb327710e18c",,,,"Cloud Engineer",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Pokorni",,,"Lei@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Leighton Hamm",,,"{
}",,,,,"Leighton","5570c014-ec5b-4dd8-9a8f-6c1c50634b1a",,,,"Network Engineer",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Hamm",,,"Leighton@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Onthatile Mozart",,,"{
}",,,,,"Onthatile","4fa44da1-b48c-42a3-a5c6-6204306cdf6a",,,,"Software Developer",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Mozart",,,"Onthatile@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Purnama Pfeiffer",,,"{
}",,,,,"Purnama","892acaef-1a16-4e47-a3b8-d1fe45b1d6f1",,,,"Innovation Consultant",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Pfeiffer",,,"Purnama@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Tarqik Agocs",,,"{
}",,,,,"Tarqik","e8424f23-a582-4adc-9c7c-a1fc197c2ab2",,,,"Software Developer",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Agocs",,,"Tarqik@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
,,,"System.String[]",,,,,,,,,,,"Viola Madrigal",,,"{
}",,,,,"Viola","41e339a1-733c-46a1-8775-0a889eddf8d9",,,,"Project Manager",,,,,"{
}",,,"#microsoft.graph.user",,,,,,,,,"{
}",,,,,,,,,,"Madrigal",,,"Viola@gyulaszabados96gmail.onmicrosoft.com",,"System.Collections.Generic.Dictionary`2[System.String,System.Object]"
